___,_____,____ ______,,,,,,,,,,,,,,,,,,,,,,,
dispute,"1. ______2. _______, _____",,,,,,,,,,,,,,,,,,,,,,,,
disregard,______,,,,,,,,,,,,,,,,,,,,,,,,
disrespectful,"___ ____, ___ _____",,,,,,,,,,,,,,,,,,,,,,,,
dissent,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
dissenter,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
distance,____,,,,,,,,,,,,,,,,,,,,,,,,
distant,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
distinct,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
distinction,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
distinguish,"______, ______, ______",,,,,,,,,,,,,,,,,,,,,,,,
distinguished,"1. _____2. _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
distort,_____,,,,,,,,,,,,,,,,,,,,,,,,
distorted,"1. _____2. ______",,,,,,,,,,,,,,,,,,,,,,,,
distract,_____,,,,,,,,,,,,,,,,,,,,,,,,
distraction,____,,,,,,,,,,,,,,,,,,,,,,,,
distracting,"____ __ ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
distress,____,,,,,,,,,,,,,,,,,,,,,,,,
distressing,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
distribution,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
diversity,_____,,,,,,,,,,,,,,,,,,,,,,,,
docile,"_____, __ ______, ____",,,,,,,,,,,,,,,,,,,,,,,,
document,"1. ____2. _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
domestic,____,,,,,,,,,,,,,,,,,,,,,,,,
domesticated,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
dominate,_____,,,,,,,,,,,,,,,,,,,,,,,,
dominant,"________, ____",,,,,,,,,,,,,,,,,,,,,,,,
dominant feature,_____ _____,,,,,,,,,,,,,,,,,,,,,,,,
donation,_____,,,,,,,,,,,,,,,,,,,,,,,,
donor,____,,,,,,,,,,,,,,,,,,,,,,,,
doom,"1. _____, ____2.  ___ ____, ____3. ____ __",,,,,,,,,,,,,,,,,,,,,,,,
door,___,,,,,,,,,,,,,,,,,,,,,,,,
doorsteps,"____, __",,,,,,,,,,,,,,,,,,,,,,,,
dose,"___ _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
dote,_____ __ ____,,,,,,,,,,,,,,,,,,,,,,,,
doubt,___,,,,,,,,,,,,,,,,,,,,,,,,
down,"1. ____2. _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
downgrade,"______ (_____, ____)",,,,,,,,,,,,,,,,,,,,,,,,
drab,"1. _____2.  ______, ___ _____",,,,,,,,,,,,,,,,,,,,,,,,
drastic,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
draw,"1. _____, _____2. _____3. ____4. ____",,,,,,,,,,,,,,,,,,,,,,,,
draw upon,______ __,,,,,,,,,,,,,,,,,,,,,,,,
dreadful,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
drift,"1. ______2. _____ 3. ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
drill,_____,,,,,,,,,,,,,,,,,,,,,,,,
drink,"1. _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
droll,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
drop,"1. _____2. ______3. ____, ___, ___",,,,,,,,,,,,,,,,,,,,,,,,
drop out,_____ (____ _________),,,,,,,,,,,,,,,,,,,,,,,,
dubious,"1. ____, ______2. ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
due,"1. ___, ____ 2.  __, ____",,,,,,,,,,,,,,,,,,,,,,,,
dump,"1. ______, _____2. _____, ___",,,,,,,,,,,,,,,,,,,,,,,,
duplicate,"1. ___, ____2.  _____",,,,,,,,,,,,,,,,,,,,,,,,
durable,"_____ ____, _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
duration,___ (___),,,,,,,,,,,,,,,,,,,,,,,,
dusty,_____,,,,,,,,,,,,,,,,,,,,,,,,
dwarf,"___, ___",,,,,,,,,,,,,,,,,,,,,,,,
dwelling,"___ ______, ____",,,,,,,,,,,,,,,,,,,,,,,,
dwell,"_______, _____",,,,,,,,,,,,,,,,,,,,,,,,
dwindle,"______, _______",,,,,,,,,,,,,,,,,,,,,,,,
dying,____,,,,,,,,,,,,,,,,,,,,,,,,
dynamic,"______, __ _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
to deprive of,_____,,,,,,,,,,,,,,,,,,,,,,,,
,E,,,,,,,,,,,,,,,,,,,,,,,,
eager,"____, ____, ______",,,,,,,,,,,,,,,,,,,,,,,,
earthquake,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
ease,"1.____,______2._____3._____",,,,,,,,,,,,,,,,,,,,,,,,
easily,_____,,,,,,,,,,,,,,,,,,,,,,,,
eat,_____,,,,,,,,,,,,,,,,,,,,,,,,
eavesdrop,_____,,,,,,,,,,,,,,,,,,,,,,,,
eccentric,"________, ___ ____",,,,,,,,,,,,,,,,,,,,,,,,
eclectic,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
economic,"_____,______,_____",,,,,,,,,,,,,,,,,,,,,,,,
economize,_____,,,,,,,,,,,,,,,,,,,,,,,,
economy,_____,,,,,,,,,,,,,,,,,,,,,,,,
edible,____,,,,,,,,,,,,,,,,,,,,,,,,
edit,_____,,,,,,,,,,,,,,,,,,,,,,,,
edition,"______,____",,,,,,,,,,,,,,,,,,,,,,,,
education,_____,,,,,,,,,,,,,,,,,,,,,,,,
educational,______,,,,,,,,,,,,,,,,,,,,,,,,
effect,_____,,,,,,,,,,,,,,,,,,,,,,,,
effectively,"_____ _______, _______",,,,,,,,,,,,,,,,,,,,,,,,
efficiency,______,,,,,,,,,,,,,,,,,,,,,,,,
efficient,____,,,,,,,,,,,,,,,,,,,,,,,,
effort,"1. ____, ______2. ____",,,,,,,,,,,,,,,,,,,,,,,,
either.. or...,__ _.. __ _...,,,,,,,,,,,,,,,,,,,,,,,,
elect,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
elaborate,"1. ____, ______2.  ______, ____ ______",,,,,,,,,,,,,,,,,,,,,,,,
election,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
element,"____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
eliminate," ____, ____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
eloquent,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
elude,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
elusive,_____,,,,,,,,,,,,,,,,,,,,,,,,
embark,"____ ____, ______",,,,,,,,,,,,,,,,,,,,,,,,
embellish," ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
embryo,____,,,,,,,,,,,,,,,,,,,,,,,,
emerge,_____,,,,,,,,,,,,,,,,,,,,,,,,
eminent,"1. ____2. _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
emit,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
emotional,"__________, ____",,,,,,,,,,,,,,,,,,,,,,,,
emperor,____,,,,,,,,,,,,,,,,,,,,,,,,
emphasis,"_____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
empire,_______,,,,,,,,,,,,,,,,,,,,,,,,
employ,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
employment,______,,,,,,,,,,,,,,,,,,,,,,,,
empower,"1. _____2.  ____, ____3. _____",,,,,,,,,,,,,,,,,,,,,,,,
empty,"_____, ___",,,,,,,,,,,,,,,,,,,,,,,,
enact,"1. _____ 2. ____, ____ ____",,,,,,,,,,,,,,,,,,,,,,,,
enchant,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
enclosure,"_____ ___, ____,_____",,,,,,,,,,,,,,,,,,,,,,,,
encompass,"1. _____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
encounter,____,,,,,,,,,,,,,,,,,,,,,,,,
encourage,_____,,,,,,,,,,,,,,,,,,,,,,,,
end,"1. ____, _____2. ___",,,,,,,,,,,,,,,,,,,,,,,,
endanger,____,,,,,,,,,,,,,,,,,,,,,,,,
endeavor,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
endowed,"1. ____ _... 2.  _____, ___, _____",,,,,,,,,,,,,,,,,,,,,,,,
endurable,____,,,,,,,,,,,,,,,,,,,,,,,,
endurance,___ ___,,,,,,,,,,,,,,,,,,,,,,,,
endure,"1. _____, ____2. ______ ____3. ______",,,,,,,,,,,,,,,,,,,,,,,,
energetic,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
enforce,_____,,,,,,,,,,,,,,,,,,,,,,,,
enforcement,_____,,,,,,,,,,,,,,,,,,,,,,,,
engage,"1. _____, ___2. ______, _____3. ____",,,,,,,,,,,,,,,,,,,,,,,,
engage in,______ _-,,,,,,,,,,,,,,,,,,,,,,,,
engagement,"1. ________2. _______",,,,,,,,,,,,,,,,,,,,,,,,
enhance,"______, ____, ______, ____, ______",,,,,,,,,,,,,,,,,,,,,,,,
enigmatic,"________, _____, ______ ",,,,,,,,,,,,,,,,,,,,,,,,
enjoy,_____,,,,,,,,,,,,,,,,,,,,,,,,
enlarge,______,,,,,,,,,,,,,,,,,,,,,,,,
enlist,_____,,,,,,,,,,,,,,,,,,,,,,,,
enormously,"_____ _____, _____ ___ ____",,,,,,,,,,,,,,,,,,,,,,,,
enough,"_____, __",,,,,,,,,,,,,,,,,,,,,,,,
enrage,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
enrich,______,,,,,,,,,,,,,,,,,,,,,,,,
enroll,_____ (_____ ____),,,,,,,,,,,,,,,,,,,,,,,,
enroll in,____ ___ _-,,,,,,,,,,,,,,,,,,,,,,,,
ensue,"___, ____, _____ ______ _...",,,,,,,,,,,,,,,,,,,,,,,,
ensure,______,,,,,,,,,,,,,,,,,,,,,,,,
enter,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
entertainment,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
enthusiasm,"_______, ___",,,,,,,,,,,,,,,,,,,,,,,,
entirely,"_______, ____",,,,,,,,,,,,,,,,,,,,,,,,
entitled,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
entrance,_____,,,,,,,,,,,,,,,,,,,,,,,,
envelope,_____,,,,,,,,,,,,,,,,,,,,,,,,
environment,_____,,,,,,,,,,,,,,,,,,,,,,,,
envy,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
equal,____,,,,,,,,,,,,,,,,,,,,,,,,
equalize,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
equate,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
equator,__ ______,,,,,,,,,,,,,,,,,,,,,,,,
equilibrium,"_____ ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
equipment,____,,,,,,,,,,,,,,,,,,,,,,,,
erase,_____,,,,,,,,,,,,,,,,,,,,,,,,
exploit,"1. ____,_____ _____ _____.2. ____ _____, ___",,,,,,,,,,,,,,,,,,,,,,,,
exporter,_____,,,,,,,,,,,,,,,,,,,,,,,,
exposure,_____,,,,,,,,,,,,,,,,,,,,,,,,
exquisite,"____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
extensive,"_________, ____, ____ ",,,,,,,,,,,,,,,,,,,,,,,,
extend,"_____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
embrace,"1. _____, ____2.  _____",,,,,,,,,,,,,,,,,,,,,,,,
emigrate,____,,,,,,,,,,,,,,,,,,,,,,,,
enable,_____,,,,,,,,,,,,,,,,,,,,,,,,
endeavor,"______, _____, _____, ______",,,,,,,,,,,,,,,,,,,,,,,,
enfeeble,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
entwine,"___, ___, ____",,,,,,,,,,,,,,,,,,,,,,,,
equivalent,"___________, ____, ____-___",,,,,,,,,,,,,,,,,,,,,,,,
equivocal,"1. __ _____2. ______, __ ____3.  ______",,,,,,,,,,,,,,,,,,,,,,,,
erroneous,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
error,____,,,,,,,,,,,,,,,,,,,,,,,,
erudite,"_____, _____, ____, ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
erupt,______,,,,,,,,,,,,,,,,,,,,,,,,
eruption,_______,,,,,,,,,,,,,,,,,,,,,,,,
escalate,______,,,,,,,,,,,,,,,,,,,,,,,,
escape,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
esoteric,"______, _____ ______",,,,,,,,,,,,,,,,,,,,,,,,
essay,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
essence,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
essential,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
establish,"_____, _____, _____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
establishment,"1. ____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
estate,"_____, _____, _____, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
esteem,_____,,,,,,,,,,,,,,,,,,,,,,,,
estimate,"______, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
estimated,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
eternal,____,,,,,,,,,,,,,,,,,,,,,,,,
ethical,_____,,,,,,,,,,,,,,,,,,,,,,,,
eulogize,"____, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
evade,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
evaluate,______,,,,,,,,,,,,,,,,,,,,,,,,
evaporate,_______,,,,,,,,,,,,,,,,,,,,,,,,
even,"1. _____, ______2.  ____, ____3. _____",,,,,,,,,,,,,,,,,,,,,,,,
evenly,"_____ ____, ____, _______",,,,,,,,,,,,,,,,,,,,,,,,
event,"_____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
eventually,"_____, _____ ___",,,,,,,,,,,,,,,,,,,,,,,,
evidence,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
evil,"___, ___",,,,,,,,,,,,,,,,,,,,,,,,
evoke,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
evolve,"____, ______, _______",,,,,,,,,,,,,,,,,,,,,,,,
exaggerate,______,,,,,,,,,,,,,,,,,,,,,,,,
exaggeration,_____,,,,,,,,,,,,,,,,,,,,,,,,
examine,_____,,,,,,,,,,,,,,,,,,,,,,,,
excavate,"_____, ___",,,,,,,,,,,,,,,,,,,,,,,,
exceed,"___, ___ __",,,,,,,,,,,,,,,,,,,,,,,,
excel,_______,,,,,,,,,,,,,,,,,,,,,,,,
excellent,_____,,,,,,,,,,,,,,,,,,,,,,,,
except,"___ _..., ____ ____, ______ _____",,,,,,,,,,,,,,,,,,,,,,,,
excess,"1. ____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
excessive,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
exchange,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
exclude,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
excluded,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
exclusion,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
exclusively,_____,,,,,,,,,,,,,,,,,,,,,,,,
excuse,"1. ______, ______2. _______, _______",,,,,,,,,,,,,,,,,,,,,,,,
execute,"1. ____, ______2. ______ _____",,,,,,,,,,,,,,,,,,,,,,,,
exegesis,______,,,,,,,,,,,,,,,,,,,,,,,,
exert,"1. ______2. ____",,,,,,,,,,,,,,,,,,,,,,,,
exertion,______,,,,,,,,,,,,,,,,,,,,,,,,
exhale,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
exhausted,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
exhausting,____,,,,,,,,,,,,,,,,,,,,,,,,
exhaustion,"1. ______2. _____",,,,,,,,,,,,,,,,,,,,,,,,
exhibit,"1. _____2. _____, ______3. ____",,,,,,,,,,,,,,,,,,,,,,,,
exhibition,______,,,,,,,,,,,,,,,,,,,,,,,,
exile,"1. ____2. ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
exist,_______,,,,,,,,,,,,,,,,,,,,,,,,
existence,____,,,,,,,,,,,,,,,,,,,,,,,,
expand,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
expect,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
expedition,"_____ ___, ___",,,,,,,,,,,,,,,,,,,,,,,,
expel,____,,,,,,,,,,,,,,,,,,,,,,,,
expend,_____,,,,,,,,,,,,,,,,,,,,,,,,
expendable,"___ _____, ____ ______",,,,,,,,,,,,,,,,,,,,,,,,
expensive,___,,,,,,,,,,,,,,,,,,,,,,,,
experience,______,,,,,,,,,,,,,,,,,,,,,,,,
experiment,_____,,,,,,,,,,,,,,,,,,,,,,,,
expert,_____,,,,,,,,,,,,,,,,,,,,,,,,
explain,______,,,,,,,,,,,,,,,,,,,,,,,,
explanation,____,,,,,,,,,,,,,,,,,,,,,,,,
explicit,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
explicitly,"_______, ______",,,,,,,,,,,,,,,,,,,,,,,,
explorer,"____, ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
exploratory,_____,,,,,,,,,,,,,,,,,,,,,,,,
exploring,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
explosive,"1. ____ ___2. ____3. (______) ____, ____ _______",,,,,,,,,,,,,,,,,,,,,,,,
export,_____,,,,,,,,,,,,,,,,,,,,,,,,
expose,"_____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
exposure,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
explode,_______,,,,,,,,,,,,,,,,,,,,,,,,
explore,"_____, ____, _____ (____ _____) ",,,,,,,,,,,,,,,,,,,,,,,,
express,"1. ______, ____, _____,2. ____",,,,,,,,,,,,,,,,,,,,,,,,
expression,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
expulsion,"_____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
expurgate,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
extant,"____, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
extend,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
extension,"1. _____2. _____, _____3. _____, _____ ______",,,,,,,,,,,,,,,,,,,,,,,,
extensive,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
extent,"____, ___, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
external,"______, __",,,,,,,,,,,,,,,,,,,,,,,,
extinct,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
extinction,_____,,,,,,,,,,,,,,,,,,,,,,,,
extinguish,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
extract,"1. _____, _____2. _____3. ____4. _____",,,,,,,,,,,,,,,,,,,,,,,,
extraordinary,"_____, ____ ____",,,,,,,,,,,,,,,,,,,,,,,,
extreme,______,,,,,,,,,,,,,,,,,,,,,,,,
extremist,___ ______,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,,,,,,,,,,,,
fabric,"1. __, ____, ____2. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
fabricate,"1. _____, _____2. ______, ______",,,,,,,,,,,,,,,,,,,,,,,,
face,"1. _____2. _____ ____ __ ____",,,,,,,,,,,,,,,,,,,,,,,,
facial,_____ _____,,,,,,,,,,,,,,,,,,,,,,,,
facile,"1. __, ____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
fact,_____,,,,,,,,,,,,,,,,,,,,,,,,
factor,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
factory,____,,,,,,,,,,,,,,,,,,,,,,,,
faculty,_____,,,,,,,,,,,,,,,,,,,,,,,,
fade,"___, _____",,,,,,,,,,,,,,,,,,,,,,,,
fade away,_____,,,,,,,,,,,,,,,,,,,,,,,,
fail,"1. ____2. ____3. ____4. ______ ",,,,,,,,,,,,,,,,,,,,,,,,
fair,"1. ____, ____2.___",,,,,,,,,,,,,,,,,,,,,,,,
fairly,"1. _______2. _____",,,,,,,,,,,,,,,,,,,,,,,,
faith,"_____, __",,,,,,,,,,,,,,,,,,,,,,,,
faithful to,____ _,,,,,,,,,,,,,,,,,,,,,,,,
fall,"1. _____2. _____, _____, _____3. ____",,,,,,,,,,,,,,,,,,,,,,,,
fallout,"__, ______, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
falsehood,"___, _____, _____, ______",,,,,,,,,,,,,,,,,,,,,,,,
falsely,_____ _____ ___,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,"____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
falsify,"1. _____2. ______",,,,,,,,,,,,,,,,,,,,,,,,
fame,_____,,,,,,,,,,,,,,,,,,,,,,,,
familiar,"1. ____, ____2. ______, ____",,,,,,,,,,,,,,,,,,,,,,,,
famous,______,,,,,,,,,,,,,,,,,,,,,,,,
fascinate,"______, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
fascinating,____,,,,,,,,,,,,,,,,,,,,,,,,
fast,"1. ___2. ____",,,,,,,,,,,,,,,,,,,,,,,,
fastidious,"_____, ____ ___, ____",,,,,,,,,,,,,,,,,,,,,,,,
fatal,_____,,,,,,,,,,,,,,,,,,,,,,,,
fateful,_____,,,,,,,,,,,,,,,,,,,,,,,,
fault,"____, ___, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
faultless,___ ___,,,,,,,,,,,,,,,,,,,,,,,,
faultlessly,"___ ___, _____ _____ ______",,,,,,,,,,,,,,,,,,,,,,,,
favor,"1. _____, ______2. ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
feasible,"__ _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
feast,"____, __",,,,,,,,,,,,,,,,,,,,,,,,
feature,"1. ______, ____2. ____ ____",,,,,,,,,,,,,,,,,,,,,,,,
fee,"1. ___, ____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
feed,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
feel,"1. ______2. ____, ____ ",,,,,,,,,,,,,,,,,,,,,,,,
feelings,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
female,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
ferment,"1. _____, _____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
fertile,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
fertility,______,,,,,,,,,,,,,,,,,,,,,,,,
festivity,_______,,,,,,,,,,,,,,,,,,,,,,,,
fertilize,______,,,,,,,,,,,,,,,,,,,,,,,,
fetus,______,,,,,,,,,,,,,,,,,,,,,,,,
feud,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
fictional,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
fierce,"____, __, _____",,,,,,,,,,,,,,,,,,,,,,,,
figure,"1. ____, ____2. ____3. ____4. ____,5. _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
figure out,_____,,,,,,,,,,,,,,,,,,,,,,,,
final,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
finally,_____,,,,,,,,,,,,,,,,,,,,,,,,
finance,"____, _____ _____",,,,,,,,,,,,,,,,,,,,,,,,
financial,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
find,_____,,,,,,,,,,,,,,,,,,,,,,,,
findings,"1. ______, _____2. ___ ___",,,,,,,,,,,,,,,,,,,,,,,,
firm,"1. ____, ___2. ____, ____3. _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
firmly,"_______, _______",,,,,,,,,,,,,,,,,,,,,,,,
fission,______,,,,,,,,,,,,,,,,,,,,,,,,
fissure,"___, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
fit,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
flame,"1. _____, ______2. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
flat,"1. ____2.  ____3. _____4. _____",,,,,,,,,,,,,,,,,,,,,,,,
flaw,"1. ___2. ___3. ___ ___ ______",,,,,,,,,,,,,,,,,,,,,,,,
fleet,"1. __2. ____,____3. ___, ___",,,,,,,,,,,,,,,,,,,,,,,,
flex,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
flexible,____,,,,,,,,,,,,,,,,,,,,,,,,
flight,"1. ____2.  _____, _____3. ___ ______",,,,,,,,,,,,,,,,,,,,,,,,
fling,"1. ______, _____2. ____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
flock,"1. ___, ____2. ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
flood,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
floor,"1. ____ 2. ____",,,,,,,,,,,,,,,,,,,,,,,,
flourish,____,,,,,,,,,,,,,,,,,,,,,,,,
flow,"1. _____2. ___, ___3. ____",,,,,,,,,,,,,,,,,,,,,,,,
fluctuate,"_____ _____, _______",,,,,,,,,,,,,,,,,,,,,,,,
fluctuation,"_____, _____ _______, __ ______",,,,,,,,,,,,,,,,,,,,,,,,
fluent,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
fly,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
foe,____,,,,,,,,,,,,,,,,,,,,,,,,
foiled,______,,,,,,,,,,,,,,,,,,,,,,,,
fond,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
fondness,____,,,,,,,,,,,,,,,,,,,,,,,,
fool,____,,,,,,,,,,,,,,,,,,,,,,,,
foot,"1. ___2.  ____ ______ 30 _""_",,,,,,,,,,,,,,,,,,,,,,,,
footnotes,_____ ______,,,,,,,,,,,,,,,,,,,,,,,,
forbid,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
forbidden,____,,,,,,,,,,,,,,,,,,,,,,,,
force,"1. ___, ______2. ______, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
forceful,"1. ___2. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
foreign,"___, __",,,,,,,,,,,,,,,,,,,,,,,,
foresight,_____ _____,,,,,,,,,,,,,,,,,,,,,,,,
forge,"1. ____, _____2.  _____",,,,,,,,,,,,,,,,,,,,,,,,
forget,_____,,,,,,,,,,,,,,,,,,,,,,,,
forgive,_____,,,,,,,,,,,,,,,,,,,,,,,,
foresee,"___, ___ ____",,,,,,,,,,,,,,,,,,,,,,,,
form,"1. _____2. ____3. ____",,,,,,,,,,,,,,,,,,,,,,,,
former,"1. ____, ____2. ____, _____3. ____",,,,,,,,,,,,,,,,,,,,,,,,
formerly,"1. ____ ___2. ____ ___, ____",,,,,,,,,,,,,,,,,,,,,,,,
formidable,"____, ___, _____",,,,,,,,,,,,,,,,,,,,,,,,
formulate,____,,,,,,,,,,,,,,,,,,,,,,,,
formulation,_____,,,,,,,,,,,,,,,,,,,,,,,,
fortified,_____,,,,,,,,,,,,,,,,,,,,,,,,
fortunate,__ ___,,,,,,,,,,,,,,,,,,,,,,,,
fortune,"1. ___, ____2. ___, _____",,,,,,,,,,,,,,,,,,,,,,,,
found,"1. _____2. ___ (____)",,,,,,,,,,,,,,,,,,,,,,,,
foundation,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
fraction,"1. ___ (_______)2. ___",,,,,,,,,,,,,,,,,,,,,,,,
fracture,"___, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
fragile,____,,,,,,,,,,,,,,,,,,,,,,,,
fragrance,"_______, _____",,,,,,,,,,,,,,,,,,,,,,,,
fragrant,"____ ___ ___, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
franchise,"1. ______2.____ _____",,,,,,,,,,,,,,,,,,,,,,,,
frankness,"____, _____ __",,,,,,,,,,,,,,,,,,,,,,,,
frequent,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
